ID,Name,Start Date,End Date,Portfolio,Required Skills
PROJ001,Security Audit Q3,2025-09-01,2025-11-30,IT Security,"Cybersecurity, Risk Assessment, Data Analysis"
PROJ002,Financial System Migration,2025-08-15,2025-12-15,Finance,"Financial Auditing, Data Analysis, Project Management"
PROJ003,Cloud Infrastructure Upgrade,2025-09-01,2026-01-31,IT Infrastructure,"Data Analysis, Project Management, Risk Assessment"
PROJ004,Compliance Review 2025,2025-08-01,2025-10-31,Compliance,"Financial Auditing, Risk Assessment, Communication"
PROJ005,Data Analytics Platform,2025-09-15,2026-02-28,Digital Transformation,"Data Analysis, Project Management, Communication"
PROJ006,Risk Assessment Framework,2025-10-01,2026-03-31,Risk Management,"Risk Assessment, Financial Auditing, Communication"
PROJ007,Customer Portal Enhancement,2025-08-01,2025-11-15,Customer Experience,"Project Management, Data Analysis, Communication"
PROJ008,Network Security Implementation,2025-09-01,2025-12-31,IT Security,"Cybersecurity, Risk Assessment, Project Management"
PROJ009,Process Automation Initiative,2025-08-15,2026-01-15,Operations,"Data Analysis, Project Management, Communication"
PROJ010,Database Modernization,2025-10-01,2026-02-15,IT Infrastructure,"Data Analysis, Risk Assessment, Project Management"
